index,date,value
87,2017-09-01,146.560476190476
88,2017-08-01,149.877391304348
89,2017-07-01,149.802857142857
90,2017-06-01,143.222727272727
91,2017-05-01,150
92,2017-04-01,155.574
93,2017-03-01,160.150434782609
94,2017-02-01,166.351
95,2017-01-01,168.612727272727
96,2016-12-01,161.780909090909
97,2016-11-01,184.115454545455
98,2016-10-01,178.955238095238
99,2016-09-01,176.295454545455
100,2016-08-01,167.541304347826
101,2016-07-01,171.76380952381
102,2016-06-01,165.452272727273
103,2016-05-01,155.194545454545
104,2016-04-01,154.217619047619
105,2016-03-01,157.631304347826
106,2016-02-01,147.697142857143
107,2016-01-01,145.434761904762
108,2015-12-01,148.612173913044
109,2015-11-01,147.978571428571
110,2015-10-01,153.250454545455
111,2015-09-01,146.146818181818
112,2015-08-01,156.923333333333
113,2015-07-01,154.44652173913
114,2015-06-01,159.755
115,2015-05-01,158.482857142857
116,2015-04-01,163.997727272727
117,2015-03-01,160.735909090909
118,2015-02-01,178.8885
119,2015-01-01,189.626363636364
120,2014-12-01,193.386086956522
121,2014-11-01,209.376
122,2014-10-01,225.285652173913
123,2014-09-01,210.526363636364
124,2014-08-01,212.965238095238
125,2014-07-01,196.895217391304
126,2014-06-01,197.890952380952
127,2014-05-01,214.202727272727
128,2014-04-01,223.494090909091
129,2014-03-01,214.086666666667
130,2014-02-01,173.6435
131,2014-01-01,132.518260869565
132,2013-12-01,125.735454545455
133,2013-11-01,122.018095238095
134,2013-10-01,128.698695652174
135,2013-09-01,132.281428571429
136,2013-08-01,135.154090909091
137,2013-07-01,138.387391304348
138,2013-06-01,138.2595
139,2013-05-01,147.186086956522
140,2013-04-01,149.786818181818
141,2013-03-01,149.808095238095
142,2013-02-01,149.459
143,2013-01-01,157.037391304348
144,2012-12-01,152.707619047619
145,2012-11-01,159.906363636364
146,2012-10-01,173.317391304348
147,2012-09-01,178.977
148,2012-08-01,174.824347826087
149,2012-07-01,190.445909090909
150,2012-06-01,168.686666666667
151,2012-05-01,184.364782608696
152,2012-04-01,191.448571428571
153,2012-03-01,201.255909090909
154,2012-02-01,224.157619047619
155,2012-01-01,237.206818181818
156,2011-12-01,236.297727272727
157,2011-11-01,245.087272727273
158,2011-10-01,247.82380952381
159,2011-09-01,274.880454545455
160,2011-08-01,270.440434782609
161,2011-07-01,268.021428571429
162,2011-06-01,274.980909090909
163,2011-05-01,291.065909090909
164,2011-04-01,300.477142857143
165,2011-03-01,292.067391304348
166,2011-02-01,288.3885
167,2011-01-01,263.765714285714
168,2010-12-01,249.443913043478
169,2010-11-01,233.512727272727
170,2010-10-01,217.439047619048
171,2010-09-01,222.713181818182
172,2010-08-01,211.59
173,2010-07-01,203.213636363636
174,2010-06-01,190.903181818182
175,2010-05-01,173.369047619048
176,2010-04-01,169.389545454545
177,2010-03-01,164.502608695652
178,2010-02-01,157.8565
